0.47206,0.48753,0.57943,0.71614,0.84723,0.93111,0.9506,0.91622,0.8531,0.79068,0.76384,0.78886,0.86896,0.98401,1.1041,1.1912,1.2331,1.2274,1.194,1.1614,1.1535
0.48978,0.50466,0.59704,0.73451,0.87096,0.9594,0.98628,0.95719,0.8995,0.8414,0.81658,0.84528,0.92897,1.052,1.1776,1.2764,1.3305,1.3335,1.3092,1.2823,1.2794
0.50816,0.5224,0.61518,0.75509,0.89536,0.99083,1.0257,1.0023,0.94842,0.89743,0.87498,0.90573,0.99541,1.1246,1.2618,1.3709,1.4355,1.4521,1.4355,1.4125,1.4191
0.52602,0.54075,0.63387,0.77804,0.92257,1.0257,1.0666,1.052,1.0023,0.95499,0.93541,0.97051,1.0641,1.2023,1.3521,1.4757,1.556,1.5812,1.574,1.5596,1.5704
0.54325,0.55976,0.65464,0.80168,0.9528,1.0641,1.1117,1.1015,1.0593,1.0162,1.0023,1.0399,1.1429,1.2912,1.4521,1.5922,1.6827,1.7258,1.7298,1.7219,1.7418
0.56234,0.57943,0.67608,0.82794,0.98628,1.1041,1.1588,1.1588,1.122,1.0814,1.0715,1.1169,1.2246,1.3836,1.5596,1.7179,1.8239,1.8793,1.8967,1.9011,1.9275
0.58076,0.59979,0.69984,0.85507,1.0186,1.1455,1.2106,1.2162,1.1858,1.1535,1.1482,1.1967,1.3122,1.4859,1.6788,1.8535,1.9815,2.0512,2.0797,2.0941,2.1281
0.59979,0.62087,0.72444,0.88512,1.0568,1.1912,1.2647,1.2794,1.256,1.2274,1.2274,1.2823,1.4093,1.5959,1.8072,1.9999,2.1478,2.2387,2.2803,2.3067,2.3496
0.62087,0.64269,0.74989,0.91622,1.094,1.2388,1.3213,1.3459,1.3305,1.3062,1.3122,1.3772,1.5136,1.71,1.9454,2.1627,2.3335,2.4434,2.4946,2.5293,2.5882
0.64121,0.66681,0.77625,0.94842,1.135,1.2912,1.3836,1.4158,1.4093,1.3932,1.406,1.4757,1.6218,1.8408,2.0941,2.3388,2.5293,2.6546,2.729,2.7733,2.8314
0.66222,0.69024,0.80353,0.98175,1.1803,1.3428,1.4488,1.4894,1.4894,1.4825,1.5031,1.5812,1.7418,1.977,2.2542,2.5235,2.7416,2.884,2.9648,3.02,3.0832
0.68391,0.7145,0.83176,1.0186,1.2246,1.3996,1.5171,1.5704,1.5776,1.5776,1.6069,1.6943,1.8664,2.1232,2.4266,2.7227,2.9648,3.1261,3.2137,3.2659,3.3343
0.70632,0.74131,0.86298,1.0544,1.2706,1.4588,1.5885,1.652,1.6711,1.6788,1.714,1.8155,1.9999,2.2751,2.6062,2.9309,3.1915,3.3729,3.4594,3.5156,3.5727
0.72946,0.76736,0.89331,1.094,1.3213,1.5205,1.6634,1.7378,1.7701,1.7865,1.8323,1.9409,2.1429,2.4378,2.799,3.1477,3.4277,3.6141,3.6983,3.7411,3.7931
0.75336,0.79433,0.92683,1.135,1.374,1.5885,1.7418,1.8323,1.8707,1.9011,1.9543,2.0749,2.2909,2.6122,2.9923,3.3651,3.6644,3.8459,3.9264,3.9628,3.9994
0.77804,0.82224,0.9594,1.1776,1.4289,1.6558,1.8239,1.9275,1.9815,2.0184,2.0797,2.2131,2.4491,2.7861,3.1989,3.5892,3.8905,4.0644,4.1305,4.1495,4.1783
0.80353,0.8531,0.99541,1.2218,1.4825,1.7258,1.9099,2.0277,2.0941,2.1429,2.2131,2.3605,2.6062,2.9648,3.3963,3.8019,4.102,4.2658,4.3152,4.3251,4.3451
0.82985,0.88308,1.0328,1.2677,1.5417,1.803,1.9999,2.133,2.2131,2.2699,2.355,2.5061,2.7733,3.1477,3.5892,3.9994,4.2954,4.4361,4.4771,4.4771,4.4978
0.85704,0.91411,1.0691,1.3152,1.6032,1.8793,2.0941,2.2439,2.3335,2.4044,2.4946,2.6607,2.9376,3.3266,3.7757,4.1783,4.4566,4.592,4.6238,4.6132,4.6452
0.88512,0.94624,1.1092,1.3614,1.6672,1.9588,2.1928,2.355,2.4604,2.541,2.6424,2.8119,3.0974,3.4995,3.9446,4.3451,4.6026,4.7206,4.7424,4.7424,4.7753
0.91411,0.97949,1.1482,1.4125,1.7338,2.0417,2.2961,2.4717,2.5942,2.6792,2.7925,2.9648,3.2584,3.6559,4.102,4.4771,4.7206,4.8306,4.8529,4.8641,4.9091
0.94406,1.0139,1.1912,1.4655,1.7989,2.1281,2.4044,2.5942,2.7227,2.8249,2.9376,3.1189,3.4041,3.8019,4.2267,4.592,4.8195,4.9317,4.9545,4.9774,5.035
0.97275,1.0495,1.2331,1.5205,1.8707,2.2182,2.5119,2.7227,2.8576,2.9648,3.0832,3.2584,3.54,3.9264,4.3351,4.6881,4.9091,5.0119,5.0582,5.0933,5.1642
1.0046,1.0864,1.2764,1.5776,1.9454,2.3121,2.6242,2.8445,2.9992,3.1046,3.2211,3.3963,3.6644,4.0272,4.4259,4.7534,4.9774,5.0933,5.1523,5.2,5.2845
1.0351,1.1246,1.3213,1.6331,2.0184,2.4099,2.7353,2.9785,3.1333,3.2434,3.3497,3.5156,3.7757,4.121,4.4978,4.8084,5.035,5.1523,5.236,5.3088,5.4075
1.0691,1.1614,1.3677,1.6943,2.0989,2.5061,2.8576,3.1046,3.2659,3.3729,3.4754,3.6224,3.8637,4.1879,4.5499,4.8529,5.0816,5.224,5.3211,5.4075,5.5208
1.1015,1.2023,1.4158,1.7539,2.1777,2.6062,2.9717,3.2359,3.3963,3.4995,3.5892,3.7154,3.9355,4.2364,4.5814,4.8978,5.1168,5.2845,5.3951,5.4954,5.6234
1.135,1.2417,1.4655,1.8155,2.2594,2.7102,3.0903,3.3574,3.5156,3.6141,3.6813,3.7931,3.9902,4.2756,4.6132,4.9204,5.1642,5.3333,5.4576,5.5847,5.7016
1.1695,1.2823,1.5136,1.8793,2.3388,2.8119,3.2137,3.4834,3.6392,3.7154,3.767,3.8548,4.0365,4.3053,4.6238,4.9431,5.188,5.3827,5.5208,5.6494,5.7677
1.205,1.3243,1.5668,1.9454,2.4266,2.9174,3.3266,3.5975,3.7411,3.8019,3.8282,3.8994,4.0551,4.3152,4.6345,4.9545,5.224,5.42,5.5719,5.7016,5.8076
1.2417,1.3677,1.6181,2.0137,2.5119,3.0269,3.4435,3.7068,3.8371,3.8726,3.8815,3.9355,4.0738,4.3251,4.6452,4.9659,5.236,5.445,5.6105,5.728,5.821
1.2764,1.4125,1.6711,2.0797,2.6002,3.1333,3.5563,3.8107,3.9174,3.9264,3.9174,3.9537,4.0832,4.3251,4.6452,4.9659,5.2481,5.4702,5.6234,5.728,5.8076
1.3152,1.4555,1.7258,2.1528,2.6915,3.2359,3.6559,3.8994,3.9811,3.9719,3.9355,3.9537,4.0832,4.3152,4.6345,4.9659,5.2602,5.4702,5.6105,5.7016,5.7412
1.3521,1.4997,1.7824,2.2233,2.7797,3.3343,3.7584,3.9811,4.0365,3.9902,3.9446,3.9537,4.0738,4.3053,4.6345,4.9659,5.2481,5.4576,5.5847,5.6364,5.6494
1.39,1.5488,1.8408,2.2909,2.8642,3.4356,3.8459,4.0458,4.0644,4.0087,3.9355,3.9355,4.0551,4.2954,4.6132,4.9431,5.224,5.42,5.5208,5.5463,5.5081
1.4289,1.5959,1.8967,2.3659,2.958,3.5318,3.9355,4.102,4.0832,3.9994,3.9174,3.9174,4.0365,4.2756,4.592,4.9204,5.188,5.358,5.42,5.4075,5.3211
1.4689,1.6406,1.9543,2.4378,3.0409,3.6224,3.9994,4.1305,4.0926,3.9811,3.8905,3.8905,4.0087,4.256,4.5709,4.8865,5.1404,5.2723,5.2966,5.236,5.105
1.5066,1.6904,2.0137,2.5119,3.1333,3.7068,4.0644,4.1495,4.0738,3.9446,3.8548,3.8548,3.9811,4.2267,4.5394,4.8417,5.0582,5.1523,5.1286,5.0234,4.8417
1.5453,1.7378,2.0749,2.5882,3.2137,3.7844,4.1115,4.1591,4.0458,3.8994,3.8107,3.8194,3.9446,4.1879,4.4978,4.7863,4.9659,5.0119,4.9317,4.7643,4.5499
1.5849,1.7865,2.138,2.6607,3.3037,3.8548,4.14,4.14,3.9994,3.8459,3.7584,3.7757,3.9084,4.1591,4.4566,4.7098,4.8417,4.8306,4.6989,4.4875,4.2364
1.6255,1.8365,2.1979,2.7353,3.3806,3.9174,4.1591,4.1115,3.9446,3.7844,3.6983,3.7239,3.8637,4.1115,4.3954,4.6238,4.6989,4.6238,4.4361,4.1783,3.8994
1.6672,1.888,2.2594,2.8054,3.4514,3.9719,4.1591,4.0644,3.8815,3.7154,3.6392,3.6728,3.8194,4.0644,4.3251,4.5082,4.529,4.3853,4.14,3.8459,3.5563
1.7061,1.9364,2.3174,2.8774,3.5237,4.0087,4.14,4.0087,3.8019,3.6308,3.5645,3.6058,3.767,3.9994,4.2462,4.3853,4.3351,4.121,3.8194,3.4995,3.2063
1.7458,1.9861,2.3768,2.9512,3.5892,4.0365,4.1115,3.9355,3.7068,3.5481,3.4914,3.5481,3.7068,3.9355,4.1591,4.2364,4.121,3.8371,3.4834,3.1477,2.8642
1.7865,2.037,2.4434,3.02,3.6475,4.0551,4.0644,3.8459,3.6141,3.4594,3.4119,3.4754,3.6392,3.8637,4.0551,4.0738,3.8815,3.5237,3.1405,2.799,2.5293
1.8281,2.0893,2.5003,3.0832,3.7068,4.0551,4.0087,3.7497,3.5075,3.3574,3.3266,3.4041,3.5727,3.7844,3.9355,3.8905,3.6141,3.1989,2.7861,2.4547,2.2029
1.8664,2.138,2.5586,3.1477,3.7497,4.0458,3.9264,3.6475,3.3963,3.2584,3.2359,3.3189,3.4914,3.6983,3.8107,3.6898,3.3343,2.8642,2.4378,2.1184,1.8967
1.9099,2.1878,2.6182,3.2137,3.7844,4.0179,3.8459,3.5318,3.281,3.1477,3.1405,3.2359,3.4041,3.5975,3.6644,3.4754,3.0409,2.5293,2.1038,1.803,1.6069
1.9454,2.2387,2.6792,3.2734,3.8194,3.9811,3.7411,3.4119,3.1623,3.0409,3.0409,3.1405,3.3113,3.4834,3.5075,3.2434,2.7353,2.1979,1.7824,1.5101,1.3397
1.9861,2.2856,2.7353,3.3266,3.8371,3.9264,3.6308,3.281,3.0339,2.9242,2.9376,3.0409,3.2137,3.3651,3.342,3.0061,2.4322,1.875,1.4791,1.2359,1.0914
2.023,2.3335,2.7925,3.3806,3.8548,3.8637,3.5156,3.1405,2.904,2.8054,2.8249,2.9376,3.1046,3.2359,3.1696,2.7542,2.1281,1.5704,1.2023,0.98855,0.87096
2.0606,2.3823,2.8445,3.4277,3.8548,3.7844,3.3884,3.0061,2.7733,2.6853,2.7164,2.8314,2.9923,3.1046,2.9785,2.4946,1.8323,1.2882,0.9506,0.7709,0.67298
2.0989,2.4266,2.904,3.4754,3.8459,3.6983,3.2509,2.8642,2.6363,2.5645,2.6002,2.7164,2.8708,2.958,2.7861,2.2387,1.5488,1.028,0.72778,0.5781,0.50003
2.133,2.4717,2.9512,3.5156,3.8282,3.6058,3.1117,2.7164,2.5003,2.4322,2.4774,2.5942,2.7416,2.8054,2.5823,1.9861,1.2882,0.79616,0.5358,0.41305,0.35318
2.1727,2.5119,2.9992,3.5481,3.8019,3.4995,2.9648,2.5645,2.3605,2.3067,2.355,2.4717,2.6062,2.6485,2.3768,1.7378,1.0471,0.59429,0.37325,0.27669,0.23174
2.2029,2.5586,3.0479,3.581,3.767,3.3884,2.8184,2.421,2.2233,2.1727,2.2233,2.3388,2.466,2.4831,2.1727,1.5031,0.82985,0.42462,0.24155,0.16827,0.13614
2.2387,2.6002,3.0903,3.5975,3.7239,3.2659,2.6669,2.2699,2.0845,2.0417,2.0941,2.208,2.3227,2.3121,1.9679,1.2823,0.64269,0.28708,0.13932,0.0877,0.066834
2.2699,2.6363,3.1333,3.6224,3.6728,3.1333,2.5119,2.1232,1.9454,1.9099,1.9634,2.0701,2.1727,2.1429,1.7701,1.0814,0.48641,0.18113,0.066834,0.033497,0.022961
2.3014,2.673,3.1696,3.6308,3.6141,3.0061,2.3605,1.9724,1.8072,1.7742,1.8281,1.9275,2.0184,1.9679,1.574,0.90157,0.36058,0.1052,0.022284,0.00542,0.0041591
2.3281,2.7102,3.2063,3.6392,3.5481,2.8708,2.2029,1.8281,1.6711,1.6406,1.6943,1.7865,1.8621,1.7947,1.39,0.74473,0.26485,0.059156,0.0043351,0.0021429,0.0097499
2.355,2.7416,3.2359,3.6475,3.4754,2.729,2.0512,1.6827,1.5346,1.5101,1.556,1.6406,1.7061,1.6218,1.2162,0.61518,0.19953,0.040926,0.011272,0.022131,0.038637
